	content	label
0	"COLLEGE STATION, Texas (NEWS10) - One family in Texas purchased an obituary in a local newspaper for their beloved chicken.POWERED BYCOLLEGE STATION, Texas (NEWS10) - One family in Texas purchased an obituary in a local newspaper …AUSTIN (KXAN) — The family of a 5-year-old girl who was bitten by a rattlesnake over the weekend …THIS IS THE XFL!The weather this week has been nothing short of perfect! A good mix of weather in this final week …The Longview Fire Department is investigating a Tuesday afternoon house fire.An East Texas man accused of brutally beating his brother and his brother's girlfriend has been …The Tyler Police Department is looking for two men they say are responsible for a Wednesday night …We all know the flu and other respiratory viruses are rampant in East Texas. For some people, it …An East Texas widow is pleading for help after she lost her wedding ring Tuesday.Sir Elton John is saying goodbye to life on the road.TYLER, Texas (KETK) If you want to see some of the best junior college baseball in country, then …Joel Taylor of the popular Discovery Channel series ""Storm Chasers"" has died.Martinsville ISD is canceling all classes Thursday and Friday ""due to the high number of student …Harrison County Sheriff's Office in seeking the public's assistance in locating a wanted man.For more than two decades, safety net hospitals and community health centers have relied on the …The Tyler Police Department takes to the streets...but not to bust the bad guys.**EDITOR'S NOTE: This article may be disturbing to some readers. Please proceed with caution.The family of an East Texas grandmother who lost her wedding ring is looking to social media for …Authorities have identified the driver and passenger involved in a chase where DPS troopers …According to judicial records, an East Texas mother accused of shooting, killing her two daughters …Disgraced former USA Gymnastics and Michigan State University doctor Larry Nassar has been …Multiple fire crews battled a grass fire near the city of Lindale Wednesday afternoon.A Kilgore College Police Academy instructor was fired in October after a female student said he …An East Texas man is behind bars for online solicitation of a minor.Now Loading......COLLEGE STATION, Texas (NEWS10) - One family in Texas purchased an obituary in a local newspaper …SILVER SPRING, Md. (AP) - U.S. government experts have rejected a proposal from Philip Morris …AUSTIN (KXAN) — The family of a 5-year-old girl who was bitten by a rattlesnake over the weekend …BOSTON (AP) - Seventeen public health schools in the U.S. and Canada pledged Thursday to refuse …WASHINGTON (AP) - First lady Melania Trump remembered the millions of victims of the Nazis, with a …NEW YORK (AP) - U.S. stocks are climbing Thursday as health care companies including Biogen and …INDIAN WELLS, Calif. (AP) - Serena Williams is returning to tournament play for the first time …LONDON (AP) - Scientists have identified a mummified body found in a Swiss churchyard as the …CAPE CANAVERAL, Fla. (AP) - NASA is honoring the seven astronauts killed aboard shuttle Columbia 15…CHICAGO (AP) - Organized tackle football would be banned for Illinois children younger than 12 …THIS IS THE XFL!WARSAW, Poland (AP) - A farmyard cow in Poland has chosen freedom this winter, roaming with a herd …CONCORD, N.H. (AP) - The Manchester VA Medical Center failed to take seriously whistleblower …The weather this week has been nothing short of perfect! A good mix of weather in this final week …PARIS (AP) - French authorities say a crash between a school bus and a car has left 27 people …ATLANTA (AP) - As Atlanta vies to entice Amazon to build its second headquarters in the South's …MOSCOW (AP) - A Moscow movie theater has shown a satirical film about Soviet leader Josef Stalin …GROZNY, Russia (AP) - A court in Chechnya has ruled to keep a human rights activist in custody …ATLANTA (AP) - Before her iconic Golden Globes speech sparked a new presidential push on social …EUFAULA, Okla. (AP) - Talk about hitchhikers you really can't pick up: Four circus elephants were …LONDON (AP) - A prominent pro-Brexit politician accused British negotiators on Thursday of being …WASHINGTON (AP) - The Senate Judiciary Committee is finishing its investigation into the meeting …ORCAS ISLAND, Wash. (AP) - Warren Miller, the prolific outdoor filmmaker who for decades made …ISTANBUL (AP) - The foreign ministers of Turkey and Austria have met in Istanbul in a bid to mend …MOSCOW (AP) - Russian President Vladimir Putin said Thursday that modernized strategic bombers will…Now Loading......THIS IS THE XFL!TYLER, Texas (KETK) If you want to see some of the best junior college baseball in country, then …Disgraced former USA Gymnastics and Michigan State University doctor Larry Nassar has been …The Carthage Bulldogs may not be as dominant on the hardwood as they are on the gridiron.In a little over three weeks, pitchers and catchers will report to spring training for the Texas …They're one of the greatest dynasties East Texas high school football has ever seen.East Texas will be well represented in Super Bowl LII.On Monday, USA Gymnastics Board of Directors executive leadership - Chairman Paul Parilla, Vice …Texas high school football still is not finished for some of the state's top players.Tyler, Texas (KETK)  Meet Levi McCasland, our Christus Trinity Mother Frances & Orthopedics Athlete…The Longview Lobos kept themselves in the hunt for a post-season berth Friday by defeating East …All that wonderful snow is making most East Texas basketball teams play some important district …In a game of runs, the Jacks had the last one outscoring ACU 43-23 in the second half to claim a …A rising star in NCAA college football is dead from an apparent suicide.The East Texas Baptist Tigers are now tied atop the East division standings of the American …John Tyler alum and Seattle Seahawks cornerback Jeremy Lane has been arrested on investigation of …Four East Texans are one step closer to achieving their dreams of playing in, and hopefully …Tyler, Texas (KETK)  Meet Cade Williams, our Christus Trinity Mother Frances & Orthopedics Athlete …While the high school basketball season has had its share of road blocks for John Tyler and Tyler …The Fellowship of Christian Athletes high school all-star games have had a presence in the Piney …The University of Texas is doing the most they can to help out one of their own as he faces a tough…The UT Tyler Patriots had to withstand everything Louisiana College threw at them.  Eventually they…Cancer has touched all of us, affecting those we love, or in the case of Tatum assistant basketball…Season ticket renewals for the 2018 University of Texas football season begin Thursday highlighted …Supermodel Cindy Crawford is making her way back to Super Bowl commercials.Now Loading......Christian Women's Job Corps of Tyler focusing on 'The Year of No Fear'. Explore unique displays at the East Texas Gem and Mineral Society Show. Kelly Community Federal Credit Union provides tips for fiscal responsibility in the New Year. Broadway Square Mall announces 'Color of the Year'. The world's premier solo percussionist performs in Tyler. James Wilhite explains bizarre tulip market insanity. SPCA needs a home for Tinkerbell! ETMC Olympic Center earns new designation. 'Tyler Museum of Art' kicks off New Year with exhibition featuring dogs.Christian Women's Job Corps of Lindale still enrolling for spring semester. 'Lighten Up East Texas' promotes community weight loss. 'Sylvan Learning' shares tools to prevent brain drain. James Wilhite explains chill hours for fruit trees. Visit the SPCA of East Texas to meet Clark! Center for Earth and Space Science Education brings back 'Love Under the Stars'. Whiskey Ray's Boutique is the latest addition to The Cannery Lindale. East Texas Christian Academy performs 'Alice in Wonderland'. Registration is now open for 'East Texas Giving Day'. 'East Texas Best Chocolate Dessert Contest' taking nominations for sweet treats.Annual Chick-Fil-A Soup Drive continues to help The Salvation Army. 'Arts in Education Awards' still seeking nominations. James Wilhite shares what to expect from our plants and gardens after the hard freeze. Volunteers needed at 'Alzheimer's Alliance of Smith County' for new day club. 'CTMF Health and Fitness Centers' helps you stick to your goals. Pets Fur People needs a home for Sidney! Now Loading......Fundraiser Night at Kawa'sLocated in: French Quarter Shopping CenterSweet GourmetNow Loading......Clear© 1998 - 2016 EastTexasMatters.com | Nexstar Broadcasting, Inc. | All Rights Reserved."	Health
1	"In a first-of-its-kind study to examine how children behave while adults are on cellphones, researchers from Boston Medical Centre studied 55 parents while they had food at a restaurant with children.The study found that one in three parents used their cellphones almost continuously during the meals.""A lack of eye contact and interaction with children can reduce the bond with them,"" alerted Jenny Radesky, a behavioural paediatrics expert.According to the study, almost 73 percent of the adults used their phone at least once during each meal.More than 15 percent of parents used their cellphones towards the end of the meal, and continued to use it until they left the restaurant, said the study.Also reported by the study, was when parents spent a long time looking at their phones, their children had a tendency to seek attention.""Parents who were highly absorbed in their devices seemed to have more negative or less engaged interactions with children,"" Radesky was quoted as saying.Children became distracted and wanted to know why the parents were using their phones during the family time.This could cause problems with the child's development and reduce the level of bond between a parent and a child, said the findings, to be published in the April issue of the journal Pediatrics.For the latest tech news and reviews, follow Gadgets 360 on Twitter, Facebook, and subscribe to our YouTube channel.Advertisement02:20 02:21 02:49 06:22 05:43  More Videos  PS4 Is a Best-Seller but Here Are 4 Reasons It's Far From PerfectFrom Food to Streaming, We Need Aggregators for Our AggregatorsMy New Year's Resolution: Read Less (Internet), Read More (Books)"	Health
2	"
3
About one in three parents use their mobile phones nearly nonstop while eating at a restaurant with their young children, a new study suggests.      

Researchers observed that when parents were almost constantly engrossed in their phones, kids tended to act out, although some kids also seemed to accept the lack of attention and conversation, and entertained themselves, the researchers found.

""Caregivers who were highly absorbed in their devices seemed to have more negative or less engaged interactions with children,"" said lead author Dr. Jenny Radesky, who specializes in developmental behavioral pediatrics at Boston Medical Center. 

This is the first study to look at how adults are using mobile phones around children and how kids react to this use. The researchers wanted to describe parents' common patterns of mobile use as a first step toward understanding how this behavior affects parent-child interactions and child development, according to the study.

This is a tricky topic to study, Radesky said. ""Mobile device use is harder to measure than [use of] 'traditional media' like TV, because these devices can be used in so many different ways and are instantly accessible."" [9 Odd Ways Your Tech Devices May Injure You]

The findings were published online on March 10 and will appear in the April issue of the journal Pediatrics.

Observing behavior

Borrowing a technique from anthropology of observing people's behavior in real-life settings, the researchers wrote up 55 detailed observations of caregivers and children ages 10 and under eating in fast-food restaurants in Boston.

Neither the parents nor the children knew their behavior was being watched by a trained observer who was sitting at a nearby table taking detailed notes.

""This allowed us to record absolutely everything taking place during a family's meal -- the positive and the not-so-positive things — related to device use,"" Radesky told LiveScience.

These observations showed that 73 percent of adults in the study used a mobile device during their meal.

But the degree of use by caregivers varied, and five main usage patterns emerged from the findings: They included parents who never took the device out, those who placed it on the table but didn't use it, as well as adults who had brief periods of use, continuous use at the end of a meal, or near constant use throughout the meal.

The researchers also observed that children were almost always curious about what adults were doing on their devices.

Absorbed in technology

A large segment of caregivers in the study appeared to be more absorbed in their gadgets than their children.

Adults who were the most engrossed spent nearly the entire meal typing or swiping the screen rarely looking up to check on their kids or talk to them. Parents who talked on their phones typically had an eye on their child, the study found.

About 15 percent of caregivers took out their phones at the end of their meal — while children were still eating — and used it almost constantly from that point on, often because they seemed bored, the researchers noted.

The results suggest there may be healthier styles of device use, such as brief or occasional use or sharing the device with a child to look at a picture or video, that are more supportive of parent-child interactions, Radesky said.

But she also added, ""there may be reason for concern that a parent's excessive device use can lead to less positive and less sensitive interactions with children.""

The results are ""an initial descriptive look into a complicated topic,"" Radesky said. She offered these tips to parents to promote healthy family interactions:

Related on LiveScience and MNN:
123456We've searched the galaxy for the best and worst the genre has to offer.You can feel good about the kids watching these flicks.You can actually visit these film locations in real life.From 'Jurassic Park' to 'Godzilla,' these giants are audience favorites.In these great films, shipwreck survivors fight for their lives."	Health
3	Utah People's PostThe Latest News from the Beehive StateMarch 11, 2014 Posted by Contributor Are you involved with your smartphone more than your family on your dinner table? With advancement of science and technology, people of all age groups are more and more involved in their mobile phones either for playing games or exploring web or simply or chit-chat.But whatever be the reason this phone addiction can damage your emotional bonding with your family.In a first-of-its-kind study, the researchers have found that over use of smartphones can damage relations with your kids.Jenny Radesky, a behavioural pediatrics expert said, “A lack of eye contact and interaction with children can reduce the bond with them.”Researchers from Boston Medical Centre carried a study to examine how children behave with adults on phones. The researchers carried study on 55 parents while they had food at a restaurant with children.They found that one in three parents used their phones almost continuously during the meals.Findings of the studyRadesky says, “Parents who were highly absorbed in their devices seemed to have more negative or less engaged interactions with children.”The findings of the study will be published in the April issue of the journal Pediatrics.Filed Under: Health Tagged With: emotional bonding, parent-child relation, SmartphonesJanuary 25, 2018 By Amelia Donovan January 23, 2018 By Amelia Donovan January 22, 2018 By Amelia Donovan January 21, 2018 By Amelia Donovan January 20, 2018 By Amelia Donovan January 19, 2018 By Amelia Donovan January 18, 2018 By Amelia Donovan January 17, 2018 By Amelia Donovan January 16, 2018 By Amelia Donovan January 15, 2018 By Amelia Donovan January 14, 2018 By Amelia Donovan Copyright © 2018 utahpeoplespost.comAbout · Privacy Policy · Terms of Use · Site Map · Contact	Health
4	"By Brad BrokerUsually, it’s the kid who gets in trouble for playing with their i-device at the dinner table.  But how about Mom and Dad?  How does smartphone use by parents affect interactions with their children?In a first-of-its-kind study published in Pediatrics, researchers analyzed how parents or other caregivers use mobile devices around children and how that use impacts relationships. “We chose to observe caregivers and children during meals because this is a daily routine in which face-to-face caregiver–child interactions are considered beneficial,” said the researchers from Boston University Medical Center.They observed 55 caregivers eating with at least one child in fast-food restaurants.  Forty of those caregivers used a mobile device during the meal.  Researchers were most concerned with the level of absorption, which they defined as the “extent to which the primary focus of the caregiver’s attention and engagement was with the device rather than the child.”Of the caregivers with smartphones, most of them used the devices throughout the meal and seemed to have more engagement with their phone than the child.  Researchers took notes during the observations.  Some of their comments included:A 2011 study published in Pediatrics advised physicians to tell their patients about the benefits of actively engaging their children during meals.  When parents and kids eat meals together at least three times per week, benefits “include a reduction in the odds for overweight, eating unhealthy foods, and disordered eating and an increase in the odds for eating healthy foods.”In the current study, it was common for children to act out to get the attention of the distracted parent and equally common for the parent to ignore the needs of the kids.  “Caregivers absorbed in devices frequently ignored the child’s behavior for a while and then reacted with a scolding tone of voice,” said the authors.Such inattention could lead to potentially dangerous situations.  “It may be that children can perceive the inattention and take more risk,” Dr. David Schwebel, a psychologist at the University of Alabama, told the Wall Street Journal during a previous study of texting and distracted parenting.One of the positive observations showed enjoyment by caregiver and child when they shared information or entertainment on the mobile device.  While no definitive conclusions were made from the observations, the researchers said that this analysis was “an important first step in the study of how device technology affects the daily interactions that are so important to child development.”September 19, 2017April 20, 2017March 15, 2016Your email address will not be published. Required fields are marked *Comment Name * Email * Website  

"	Health
5	Never miss a great news story!Get instant notifications from Economic TimesAllowNot now04:05 PM | 25 JanSENSEX36,050-111.20NIFTY 5011,070-16.35GOLD (MCX) (Rs/10g.)30,247-2.00USD/INR63.54-0.15Returns in %NAV₹51.44Day Change-0.09 (-0.17%)Class:Category:1M2.66M14.471Y32.543Y16.21PortfolioCHOOSE LANGUAGEENGAmazon smartphone 'Tenor' coming in JanuaryIf your teenager is glued to the smartphone, it can lead to unhappinessSmartphones are big news in small cities, says reportAirtel offers cashback on 2 itel smartphonesAmazon India to launch new smartphone in JanuaryMore »Copyright © 2018 Bennett, Coleman & Co. Ltd. All rights reserved. For reprint rights: Times Syndication ServiceFind this comment offensive?Choose your reason below and click on the Report button. This will alert our moderators to take actionReason for reporting:Your Reason has been Reported to the admin.Log In/Connect with:Will be displayedWill not be displayedWill be displayedLoadingPlease wait...	Health
6	"Subscribe NowSubscribe NowSubscribe NowSubscribe NowSubscribe NowOne in three parents used their phones almost continuously during the mealsDo you often play games, check emails or respond to office calls on your cell phone while with family on a dinner? This phone addiction can damage your emotional bonding with kids soon.In a first-of-its-kind study to examine how children behave with adults on phones, researchers from Boston Medical Centre studied 55 parents while they had food at a restaurant with children.They found that one in three parents used their phones almost continuously during the meals.“A lack of eye contact and interaction with children can reduce the bond with them,” alerted Jenny Radesky, a behavioural paediatrics expert.Almost 73 per cent of the adults used their phone at least once during each meal.
		         					googletag.cmd.push(function() {
		                         		googletag.display(""ad_GN_News_In_Article"");
		                      		});
		        				More than 15 per cent used their phones towards the end of the meal and continued to use it until they left the restaurant, said the study.When parents spent a long time looking at their phones, their children had a tendency to seek attention.“Parents who were highly absorbed in their devices seemed to have more negative or less engaged interactions with children,” Radesky was quoted as saying.Children became distracted and wanted to know why the parents were using their phones during the family time.This could cause problems with the child’s development and reduce the level of bond between a parent and a child, said the findings, to be published in the April issue of the journal Pediatrics.In a first-of-its-kind study to examine how children behave with adults on phones, researchers from Boston Medical Centre studied 55 parents while they had food at a restaurant with children.They found that one in three parents used their phones almost continuously during the meals.“A lack of eye contact and interaction with children can reduce the bond with them,” alerted Jenny Radesky, a behavioural paediatrics expert.Almost 73 per cent of the adults used their phone at least once during each meal.
		         					googletag.cmd.push(function() {
		                         		googletag.display(""ad_GN_News_In_Article"");
		                      		});
		        				More than 15 per cent used their phones towards the end of the meal and continued to use it until they left the restaurant, said the study.When parents spent a long time looking at their phones, their children had a tendency to seek attention.“Parents who were highly absorbed in their devices seemed to have more negative or less engaged interactions with children,” Radesky was quoted as saying.Children became distracted and wanted to know why the parents were using their phones during the family time.This could cause problems with the child’s development and reduce the level of bond between a parent and a child, said the findings, to be published in the April issue of the journal Pediatrics.They found that one in three parents used their phones almost continuously during the meals.“A lack of eye contact and interaction with children can reduce the bond with them,” alerted Jenny Radesky, a behavioural paediatrics expert.Almost 73 per cent of the adults used their phone at least once during each meal.
		         					googletag.cmd.push(function() {
		                         		googletag.display(""ad_GN_News_In_Article"");
		                      		});
		        				More than 15 per cent used their phones towards the end of the meal and continued to use it until they left the restaurant, said the study.When parents spent a long time looking at their phones, their children had a tendency to seek attention.“Parents who were highly absorbed in their devices seemed to have more negative or less engaged interactions with children,” Radesky was quoted as saying.Children became distracted and wanted to know why the parents were using their phones during the family time.This could cause problems with the child’s development and reduce the level of bond between a parent and a child, said the findings, to be published in the April issue of the journal Pediatrics.“A lack of eye contact and interaction with children can reduce the bond with them,” alerted Jenny Radesky, a behavioural paediatrics expert.Almost 73 per cent of the adults used their phone at least once during each meal.
		         					googletag.cmd.push(function() {
		                         		googletag.display(""ad_GN_News_In_Article"");
		                      		});
		        				More than 15 per cent used their phones towards the end of the meal and continued to use it until they left the restaurant, said the study.When parents spent a long time looking at their phones, their children had a tendency to seek attention.“Parents who were highly absorbed in their devices seemed to have more negative or less engaged interactions with children,” Radesky was quoted as saying.Children became distracted and wanted to know why the parents were using their phones during the family time.This could cause problems with the child’s development and reduce the level of bond between a parent and a child, said the findings, to be published in the April issue of the journal Pediatrics.Almost 73 per cent of the adults used their phone at least once during each meal.
		         					googletag.cmd.push(function() {
		                         		googletag.display(""ad_GN_News_In_Article"");
		                      		});
		        				More than 15 per cent used their phones towards the end of the meal and continued to use it until they left the restaurant, said the study.When parents spent a long time looking at their phones, their children had a tendency to seek attention.“Parents who were highly absorbed in their devices seemed to have more negative or less engaged interactions with children,” Radesky was quoted as saying.Children became distracted and wanted to know why the parents were using their phones during the family time.This could cause problems with the child’s development and reduce the level of bond between a parent and a child, said the findings, to be published in the April issue of the journal Pediatrics.More than 15 per cent used their phones towards the end of the meal and continued to use it until they left the restaurant, said the study.When parents spent a long time looking at their phones, their children had a tendency to seek attention.“Parents who were highly absorbed in their devices seemed to have more negative or less engaged interactions with children,” Radesky was quoted as saying.Children became distracted and wanted to know why the parents were using their phones during the family time.This could cause problems with the child’s development and reduce the level of bond between a parent and a child, said the findings, to be published in the April issue of the journal Pediatrics.When parents spent a long time looking at their phones, their children had a tendency to seek attention.“Parents who were highly absorbed in their devices seemed to have more negative or less engaged interactions with children,” Radesky was quoted as saying.Children became distracted and wanted to know why the parents were using their phones during the family time.This could cause problems with the child’s development and reduce the level of bond between a parent and a child, said the findings, to be published in the April issue of the journal Pediatrics.“Parents who were highly absorbed in their devices seemed to have more negative or less engaged interactions with children,” Radesky was quoted as saying.Children became distracted and wanted to know why the parents were using their phones during the family time.This could cause problems with the child’s development and reduce the level of bond between a parent and a child, said the findings, to be published in the April issue of the journal Pediatrics.Children became distracted and wanted to know why the parents were using their phones during the family time.This could cause problems with the child’s development and reduce the level of bond between a parent and a child, said the findings, to be published in the April issue of the journal Pediatrics.This could cause problems with the child’s development and reduce the level of bond between a parent and a child, said the findings, to be published in the April issue of the journal Pediatrics.Can you access VPNs legally in UAE?Fujairah fire: Bodies of 7 children laid to restParents forget child at Dubai airportTRA denies Dh5,000 fine for using VPNWoman caught having sex with studentIndian tourist killed in Dubai accidentHow many days of cold left for the UAE?Video: Indian praised for 40-year service Kerala leader’s son fined Dh60,000 in DubaiGulfNews.com is the most widely read newspaper, and online site in English in the Middle East. With a daily BPA audited paid circulation of over 93,068 as of June 2017, and an online audience of 5.3 million uniques every month, it is your go to source for information on the region. Sign up below to begin personalising your experience"	Health
7	"
 
About one in three parents use their mobile phones nearly nonstop while eating at a restaurant with their young children, a new study suggests.Researchers observed that when parents were almost constantly engrossed in their phones, kids tended to act out, although some kids also seemed to accept the lack of attention and conversation, and entertained themselves, the researchers found.""Caregivers who were highly absorbed in their devices seemed to have more negative or less engaged interactions with children,"" said lead author Dr. Jenny Radesky, who specializes in developmental behavioral pediatrics at Boston Medical Center.This is the first study to look at how adults are using mobile phones around children and how kids react to this use. The researchers wanted to describe parents' common patterns of mobile use as a first step toward understanding how this behavior affects parent-child interactions and child development, according to the study.This is a tricky topic to study, Radesky said. ""Mobile device use is harder to measure than [use of] 'traditional media' like TV, because these devices can be used in so many different ways and are instantly accessible."" [9 Odd Ways Your Tech Devices May Injure You]The findings are published online Mar. 10 and will appear in the April issue of the journal Pediatrics.Observing behaviorBorrowing a technique from anthropology of observing people's behavior in real-life settings, the researchers wrote up 55 detailed observations of caregivers and children ages 10 and under eating in fast-food restaurants in Boston.Neither the parents nor the children knew their behavior was being watched by a trained observer who was sitting at a nearby table taking detailed notes.""This allowed us to record absolutely everything taking place during a family's meal -- the positive and the not-so-positive things related to device use,"" Radesky told LiveScience.These observations showed that 73 percent of adults in the study used a mobile device during their meal.But the degree of use by caregivers varied, and five main usage patterns emerged from the findings: They included parents who never took the device out, those who placed it on the table but didn't use it, as well as adults who had brief periods of use, continuous use at the end of a meal, or near constant use throughout the meal.The researchers also observed that children were almost always curious about what adults were doing on their devices.Absorbed in technologyA large segment of caregivers in the study appeared to be more absorbed in their gadgets than their children.Adults who were the most engrossed spent nearly the entire meal typing or swiping the screen rarely looking up to check on their kids or talk to them. Parents who talked on their phones typically had an eye on their child, the study found.About 15 percent of caregivers took out their phones at the end of their meal while children were still eating and used it almost constantly from that point on, often because they seemed bored, the researchers noted.The results suggest there may be healthier styles of device use, such as brief or occasional use or sharing the device with a child to look at a picture or video, that are more supportive of parent-child interactions, Radesky said.But she also added, ""there may be reason for concern that a parent's excessive device use can lead to less positive and less sensitive interactions with children.""The results are ""an initial descriptive look into a complicated topic,"" Radesky said. She offered these tips to parents to promote healthy family interactions:View AllThis material may not be published, broadcast, rewritten, or redistributed. ©2018 FOX News Network, LLC. All rights reserved. All market data delayed 20 minutes."	Health
8	"A new study has revealed that use of mobile phones is distracting parents and caregivers, especially at mealtime.	Researchers analyzed 55 caregivers, usually a parent, in a Boston fast-food restaurant while they were eating with their children. They saw that 40 of the caregivers used their phones during their meal. Of them, 16 played with their phones throughout the meal, whereas three adults gave their phones to one of their younger dining companion, so as to ensure that they are occupied.	""When I talk about it with siblings or friends, everyone struggles with it. We want some guidance and balance. We need to stay connected with email, work and friends, and still be present with our kids"", said Dr. Jenny Radesky, a research fellow in developmental behavioral pediatrics at Boston Medical Center and lead author of the recent study.	He said it has not been made clear by the study that what could be the possible risk with the mobile distractions. The study was aimed at getting a better understanding on how prevalent the phenomenon is.	It has been suggested by many of the studies that meal time has its own importance for healthy parent-child relationships. Children who eat regularly with their parents and have face to face conversation are likely to develop a better bonding with their parents and have less chances of becoming an alcoholic and drug addict.  	The latest study has suggested that if parents are distracted during the mealtime because of mobile phone use, then they would not be able to have face to face conversations with their children at an important time of the day.	The study author is of the belief that it is very important for children to have fact-to-face conversation with their parents as it results in better cognitive, language and emotional development. But the study has not made it clear what is the intensity of the impact on a child development because of use of smartphones by parents."	Health
9	"DETROIT (WWJ) – A new study suggests that smartphones are affecting parenting skills — and kids are beginning to take notice.Researchers from the Boston Medical Center observed more than 50 family groups eating out, and found that a significant number of adults were preoccupied with their smart phones.In the study, “Patterns of Mobile Device Use by Caregivers and Children During Meals in Fast Food Restaurants,” published in the April 2014 journal Pediatrics (published online March 10), found that smartphones are becoming more of a distraction when it comes to raising kids.They study found more than 70 percent of adults used their phone at least once, while about one-third used them continuously.Some kids accepted being ignored, while others acted out to get attention.The study author says face-to-face interactions are important for cognitive, language and emotional development, but they’re not sure how much impact parent smartphone use will have on a child development.The biggest concern is vocabulary development.Researchers say the best predictor of a child’s vocabulary is conversations between parent and child, often happening during meal time.Learn more about the research HEREPlease log in using one of these methods to post your comment: You are commenting using your Twitter account. ( Log Out / Change ) You are commenting using your Facebook account. ( Log Out / Change ) You are commenting using your Google+ account. ( Log Out / Change )Connecting to %s Notify me of new comments via email. Notify me of new posts via email.



Watch & Listen LIVE"	Health
