Sentence,prediction,label
I am so happy,,p
i love my life,,p
i really like this sunshine,,p
while doing sport i feel  free,,p
i is terrible to learn when the weather is this good,,n
i am almost crying when i run out of ice cream,,n
fuck off,,n
you are my best friend ever,,p
i love my mommy,,p
i prefer oral exams,,p
best cocktail is the mojito especial,,p
you got a beautiful wedding,,p
you husband is this handsome,,p
this is such a sneaky bitch,,n
you're kidding,,n
you are really too drunk,,n
you start being annoying,,n
i love my mac,,p
but it would be better if they are less expensive,,n
you are a bad friend,,n
I am in love with my new laptop,,p
You piss me off,,n
I hate school,,n
I'm so mad at you,,n
"Seeing you cry, makes me sad",,n
You are so lovely,,p
Fish is disgusting,,n
At times I feel so depressed,,n
Summer makes me happy,,p
I want to dance and sing aloud,,p
Everything will be ok,,p
why are you upset?,,n
I dont like it when it rains,,n
I dont care at all,,n
you are such a bitch,,n
I dont understand what this is all about,,n
"give me a break, idiot!",,n
please dont leave me,,n
I love cuddling with my dog,,p
I want to die,,n
that is really sad!,,n
"why are you saying that, you moron!",,n
OMG! i love that cat soo much!,,p
can you feel the love tonight,,p
i get so emotional when i watch lion king,,p
i really hate you,,n
that is disgusting,,n
my heart is broken,,n
i love these sunny days,,p
this gave me positive feelings,,p
i am sick,,n
i am tired,,n
are you sick or tired?,,n
you are so cute and sweet,,p
i just lost my mind,,n
i hate all people,,n
you are just dumb,,n
i will get lucky,,p
i like ice cream,,p
go home you idiot,,n
