	Sentence	prediction	topic hit	sentiment hit	both	ranked
0	Hi how are you?	😁😂😌😎😅😉🙌🤟				
1	do you've got time	😌😁😎😂🙌🤸🚯🤟				
2	I go out for party tonight	😂😅😁😌🔰🔢🔣🔤				
3	I'll take the bus or train	😂😅😢😭🚆🚄🤘🤣				
4	You look gorgeous in this dress	😌🙌😀😎👗👥👤🤵				
5	How hard was the exam	😂😅😁😌😎😉🤘🤣				
6	please can you give me some stuff	😂😅😁😉😎😏🤙🤟				
7	whats your name	😂😅😁😢😌😎😉📛				
8	where are you from	😂😅😁😢😌😉😎🤟				
9	what is your favourite color	😌🙌😀😎😁😊😋😉				
10	Do you like to play soccer this evening	😅😂😢😭😁😔⚽🤟				
11	do you have any pets	😂😅😁😢😌🤸🚯🤟				
12	I watch television all day	😂😅😢😁😉😌😎⌚				
13	there some fake news but most of the time i dont care	😂😅😁😌🤘🗾🗽💩				
14	i you fucking kidding	😂😅😢😁🤟🇮🇴🇼				
15	i we have to hand in our report	😌😁😎🙌✋🤟👊👋				
16	is the world real	😂😅😁😉😎😌🤘🤣				
17	i am you father	😂😅😢😭🎅🤟🇴🇼				
18	is this a true cite	😂😅😁😌😢😘🇦💠				
19	i like working for my phd	😂😅😢😁🔢🔣🔰🇩				
20	I at the end of my Master studes	😅😂😢😭🤘🗽🍲🥩				
21	I like chilling with my friends outside	😂😅😁😉📶🥤💘💝				
22	are we allowed to extend our presentation time to 35min	😌😁😂😅😎😉🙌🎁				
23	yes you are because today there no other groups presenting	😌🙌😀😊🎁🚷⛔🚳				
24	i would love if we needn't write a report	😁😂😌😅💌🏩🤟😘				
25	no sorry, you have to wirite one.	😢😭😅😔⛔🚳🚷🔞				
26	ALso Google Docs is not enough, you shell use share latex for your document	😂😅😁😌🐚🔢🔣🔰				
27	I'll hope we get a good grade	😁😎😌😉😘🇦🙅💠				
28	I'll really could imagine working in NLP in the feature	😂😅😢😁👤⛳👥🤵				
29	The weather today is really nice	😂😅😢😭😁😉🤘🤣				
30	I like to take my dog out for a walk	😅😂😢😭🐕🐶🌭😘				
31	I am a huge soccer fan	😂😌😁😅⚽😘🇦💠				
32	I just hate bad tutorials	😢😅😂😭😔😤😁😌				
33	I am so glad I bought new shoes yesterday	😁😎😌😉🆕🥿👞👠				
34	My mom likes ice cream	😌😁😎🙌🍨🍦🍧🏒				
35	This so so much work...	😅😂😢😭😔😁😌😤				
36	I want to have holidays	😅😂😢😁😭😌😎😉				
37	Please come to my birthday party	😂😁😌😅😎😉🙌🎂				
38	why are some people just not replying to emails	😂😅😁😉😎😌😏🚯				
39	I am sick of studying	😢😅😭😂🗾🧵🧶🥛				
40	Living in Germany can be expensive	😂😅😢😭👤🤵⛳👥				
41	I love my new Iphone	😌😎😁😀🆕💌🏩🌑				
42	Teddy bears are cute	😌🙌😀😁😎😊🐻🧸				
43	The sun is shining today	😂😅😁😉⛅🌞🤘🤣				
44	I am really stressed out	😅😢😂😭😔😤😁😏				
45	Mensa food is disgusting	😂😅😁😌🥫🍲🥘😋				
46	I am so disappointed of this lecture	😂😅😁😌🗾🧵🧶🥛				
47	I usually take my bike to work	😅😂😁😌😎😉😢🙌				
48	This is so sad, I am almost crying	😢😭😅😔😂😤😩😒				
49	My car broke down yesterday	😅😂😢😭🚋🚓🚃👎				
50	What is the usual time of study in Germany?	😂😅😢😭🤘🗽🗾🤵				
51	I try to eat healthy	😂😅😢😁😌😉😎😭				
52	Seeing people getting good marks with no effort, makes me angry	😂😅😁😢🙅🚷❌🚳				
53	Live long and prosper	😂😅😢😁🏹🍴🏀🔩				
54	i love books about wizards	😁😌😎😉📚📘📖📕				
55	No one understands me	😂😅😁😢🤙🕐🤪🔉				
56	Why do we even have to study?	😅😂😢😁😭😌🤸🚯				
57	Tonight I will go drinking	😂😅😢😁😌😉😎🍹				
58	Lets have a party	😂😅😁😌😎😘🇦💠				
59	I dont think there is any bias in these sentences	😂😅😁😌👤🤵⛳👥				
60	I really like to get this freedom in our work	😅😂😢😭👤🤵⛳👥				
61	No one will care anyway	😂😁😅😉🕐🤪🔉🔞				
62	worth it?	🙌😌😀😊😎😋😁😍				
63	I really thought this will be a hard semester	😅😂😢😭💭😘🇦💠				
