	Sentence	prediction
0	i like computer games	😅😂😢😭😁😌🎮🎲
1	it is great weather for using the swimming pool	😌😁😎🙌😀😉😋😊
2	old cars are this loud	😅😂😢😭🚃🚋🚓🚔
3	i hear a plane above our house	😅😂😢😭😁😔😌😉
4	these are really cute pets	😂😅😁😌😎😉🙌😀
5	when will be the firework	😂😅😁😌😎😉🎆🎇
6	do you have a garage or do you have to park outside	😂😅😁😌😎😉😢🙌
7	what is your favorite meal	😌😁😎🙌😀😉😂😋
8	would you kiss a frog to get your prince	🙌😌😀😎💏🐸😗💋
9	you are the king of my castle	😌😁😎🙌😀😉😋😊
10	would you legalize weed	😂😅😢😁😭😉😌😎
11	is the world real?	😂😅😁😢😉😌😎😏
12	let's go out in a bar tonight	😂😅😁😌😎🧼📊🍫
13	no better play card games	😂😅😢😁💳🎮📇🎲
14	do you ever climbed a mountain	😂😅😁😌🚠🚵🌄🚞
15	how large is your computer monitor	😅😂😢😁😭😌😉😎
16	let's make brunch	😂😁😌😅😎😉🙌😀
17	what a beautiful dress	🙌😀😊😌😍😋😘👗
18	i love my new sneakers	😌😁😎😂🏩💌🌚🤟
19	this is a bit dirty keyboard	😂😅😁😌😉😎😢🎹
20	I like reading books	😅😂😢😁😌📚📕📖
21	I won a medal in swimming	😂😅😢😁🏅🥇🥈🥉
22	Cats are cuter than dogs	😁😂😌😎🐈🐕🌭🐶
23	I like turtles	😂😅😢😁😉😌😎😭
24	It's supposed to snow today	😅😂😢😭😔😁😌⛄
25	My mom plays the piano really well	😅😂😢😁😌😎😉😭
26	Let's go bowling tonight	😂😅😁😌😎🎳🥣🍜
27	I take a flight to Mallorca tonight	😂😁😅😌😎😉🙌😀
28	Let's call the police	😂😅😁😌😎😉😢🤙
29	My phone is broken	😅😢😂😭💔📱📴📵
30	Please give me your camera	😂😅😁😌📷🎥📸📹
31	Money is the most important thing is the world	😂😅😁😌😉😎💰💸
32	I love playing dungeons and dragons	😂😅😁😌🐉🏩💌🐲
33	Trees are beautiful	😌🙌😀😎🌲🌳🌴🎄
34	Let's save the whales	😂😅😁😢😉😌🐋🐳
35	Eating mushrooms can be dangerous	😅😂😢😭😔😁😤🍄
36	We have a full moon tonight	😁😌😎😂🌝🥮🌙🎑
37	Strawberry pie tastes good	😌😁😎🙌😀😉🥧🙅
38	Don't steal my taco	😂😅😢😁😉😌😭🌮
39	In the summer I like to ride my bike	😂😅😁😌😎😉🙌😀
40	i am working with my notebook	😅😂😢😁😭😌📓📔
41	oh look! there's a cat!	😂😅😁😌🐈🐱🙀😤
42	that cat is doing some evil stuff	😅😂😢😁🐈🐱🙀😿
43	i am wondering whether cats or dogs will take over the worlds leadership	😂😅😁😌🐈🐕🌭🐶
44	i am not a fan of huge turbines	😌😁😎🙌😉😀😂😅
45	Newton got hit by an apple	😅😂😢😁😭😌😉🎯
46	i am writing a lot of words	😂😅😁😢😌😉😎🙏
47	there is coffee in that nebula	😂😅😁😌😎😉🙌😀
48	resistance is futile	😂😅😁😌😎😉😢🙌
49	i think han solo shot first	😂😅😁😌😎😉🥇🌛
50	why is there a depressed robot on that spaceship?	😅😂😢😭😁😌😔🤖
51	whales are just very big fishes	😂😅😁😢🐋🐟🎣🐠
52	how does a fox sounds like?	😂😅😢😁😉😌😭🦊
53	i got chased by a witch	😂😅😁😌😉😎😢🙏
54	there is plankton in the sea	😂😅😁😌😎😉🙌😀
55	i am a jedi with a laser sword	😂😅😁😌😎😉😢🙌
56	these stars are forming an interesting constellation	😂😁😅😌🌟🌃⭐🤩
57	i drunk too much	😂😅😢😁😭😉😌😎
58	i just lost my calculator	😅😂😢😭😔😁😤😌
59	bigfoot has big feet	😂😅😁😌😎😉😢🙌
