;code;character;description
1;129525;🧵;spool thread
2;129526;🧶;ball yarn
3;127183;🃏;playing card black joker
4;129296;🤐;zipper-mouth face
5;129297;🤑;money-mouth face
6;129298;🤒;face thermometer
7;129299;🤓;nerd face
8;129300;🤔;thinking face
9;129301;🤕;face head-bandage
10;129302;🤖;robot face
11;129303;🤗;hugging face
12;129304;🤘;sign horns
13;129305;🤙;call hand
14;129306;🤚;raised back hand
15;129307;🤛;left-facing fist
16;129308;🤜;right-facing fist
17;129309;🤝;handshake
18;129310;🤞;hand index middle fingers crossed
19;129311;🤟;love hand sign
20;129312;🤠;face cowboy hat
21;129313;🤡;clown face
22;129314;🤢;nauseated face
23;129315;🤣;rolling floor laughing
24;129316;🤤;drooling face
25;129317;🤥;lying face
26;129318;🤦;face palm
27;129319;🤧;sneezing face
28;129320;🤨;face one eyebrow raised
29;129321;🤩;grinning face star eyes
30;129322;🤪;grinning face one large one small eye
31;129323;🤫;face finger covering closed lips
32;129324;🤬;serious face symbols covering mouth
33;129325;🤭;smiling face smiling eyes hand covering mouth
34;129326;🤮;face open mouth vomiting
35;129327;🤯;shocked face exploding head
36;129328;🤰;pregnant woman
37;129329;🤱;breast-feeding
38;129330;🤲;palms together
39;129331;🤳;selfie
40;129332;🤴;prince
41;129333;🤵;man tuxedo
42;129334;🤶;mother christmas
43;129335;🤷;shrug
44;129336;🤸;person cartwheel
45;129337;🤹;juggling
46;129338;🤺;fencer
48;129340;🤼;wrestlers
49;129341;🤽;water polo
50;129342;🤾;handball
51;129344;🥀;wilted flower
52;129345;🥁;drum drumsticks
53;129346;🥂;clinking glasses
54;129347;🥃;tumbler glass
55;129348;🥄;spoon
56;129349;🥅;goal net
58;129351;🥇;first place medal
59;129352;🥈;second place medal
60;129353;🥉;third place medal
61;129354;🥊;boxing glove
62;129355;🥋;martial arts uniform
63;129356;🥌;curling stone
64;129357;🥍;lacrosse stick ball
65;129358;🥎;softball
66;129359;🥏;flying disc
67;129360;🥐;croissant
68;129361;🥑;avocado
69;129362;🥒;cucumber
70;129363;🥓;bacon
71;129364;🥔;potato
72;129365;🥕;carrot
73;129366;🥖;baguette bread
74;129367;🥗;green salad
75;129368;🥘;shallow pan food
76;129369;🥙;stuffed flatbread
77;129370;🥚;egg
78;129371;🥛;glass milk
79;129372;🥜;peanuts
80;129373;🥝;kiwifruit
81;129374;🥞;pancakes
82;129375;🥟;dumpling
83;129376;🥠;fortune cookie
84;129377;🥡;takeout box
85;129378;🥢;chopsticks
86;129379;🥣;bowl spoon
87;129380;🥤;cup straw
88;129381;🥥;coconut
89;129382;🥦;broccoli
90;129383;🥧;pie
91;129384;🥨;pretzel
92;129385;🥩;cut meat
93;129386;🥪;sandwich
94;129387;🥫;canned food
95;129388;🥬;leafy green
96;129389;🥭;mango
97;129390;🥮;moon cake
98;129391;🥯;bagel
99;129392;🥰;smiling face smiling eyes three hearts
100;129395;🥳;face party horn party hat
101;129396;🥴;face uneven eyes wavy mouth
102;129397;🥵;overheated face
103;129398;🥶;freezing face
104;129402;🥺;face pleading eyes
105;129404;🥼;lab coat
106;129405;🥽;goggles
107;129406;🥾;hiking boot
108;129407;🥿;flat shoe
109;129408;🦀;crab
110;129409;🦁;lion face
111;129410;🦂;scorpion
112;129411;🦃;turkey
113;129412;🦄;unicorn face
114;129413;🦅;eagle
115;129414;🦆;duck
116;129415;🦇;bat
117;129416;🦈;shark
118;129417;🦉;owl
119;129418;🦊;fox face
120;129419;🦋;butterfly
121;129420;🦌;deer
122;129421;🦍;gorilla
124;129422;🦎;lizard
125;129423;🦏;rhinoceros
136;129426;🦒;giraffe face
137;129427;🦓;zebra face
138;129428;🦔;hedgehog
139;129429;🦕;sauropod
140;129430;🦖;t-rex
141;129431;🦗;cricket
142;129432;🦘;kangaroo
143;129433;🦙;llama
144;129434;🦚;peacock
145;129435;🦛;hippopotamus
146;129436;🦜;parrot
147;129437;🦝;raccoon
148;129438;🦞;lobster
149;129439;🦟;mosquito
150;129440;🦠;microbe
151;129441;🦡;badger
152;129442;🦢;swan
153;129528;🧸;teddy bear
158;129460;🦴;bone
159;129461;🦵;leg
160;129462;🦶;foot
161;129463;🦷;tooth
162;129464;🦸;superhero
163;129465;🦹;supervillain
164;129472;🧀;cheese wedge
165;129473;🧁;cupcake
166;129474;🧂;salt shaker
167;129488;🧐;face monocle
168;129489;🧑;adult
169;129490;🧒;child
170;129491;🧓;older adult
171;129492;🧔;bearded person
172;129493;🧕;person headscarf
173;129494;🧖;person steamy room
174;129495;🧗;person climbing
175;129496;🧘;person lotus position
176;129497;🧙;mage
177;129498;🧚;fairy
178;129499;🧛;vampire
179;129500;🧜;merperson
180;129501;🧝;elf
181;129502;🧞;genie
182;129503;🧟;zombie
183;129504;🧠;brain
185;129506;🧢;billed cap
186;129507;🧣;scarf
187;129508;🧤;gloves
188;129509;🧥;coat
195;129516;🧬;dna double helix
197;129517;🧭;compass
199;129518;🧮;abacus
200;129519;🧯;fire extinguisher
202;129521;🧱;brick
203;129522;🧲;magnet
204;129523;🧳;luggage
205;129524;🧴;lotion bottle
215;129527;🧷;safety pin
217;129529;🧹;broom
218;129530;🧺;basket
219;129531;🧻;roll paper
220;129532;🧼;bar soap
221;129533;🧽;sponge
222;129534;🧾;receipt
237;127745;🌁;foggy
238;127746;🌂;closed umbrella
239;127747;🌃;night stars
240;127748;🌄;sunrise mountains
241;127749;🌅;sunrise
242;127750;🌆;cityscape dusk
243;127751;🌇;sunset buildings
244;127752;🌈;rainbow
245;127753;🌉;bridge night
246;127754;🌊;water wave
247;127755;🌋;volcano
248;127756;🌌;milky way
249;127757;🌍;earth globe europe-africa
250;127758;🌎;earth globe americas
251;127759;🌏;earth globe asia-australia
261;127769;🌙;crescent moon
262;127770;🌚;new moon face
263;127771;🌛;first quarter moon face
264;127772;🌜;last quarter moon face
265;127773;🌝;full moon face
266;127774;🌞;sun face
267;127775;🌟;glowing star
268;8986;⌚;watch
269;8987;⌛;hourglass
273;127789;🌭;hot dog
274;127790;🌮;taco
275;127791;🌯;burrito
276;127792;🌰;chestnut
277;127793;🌱;seedling
278;127794;🌲;evergreen tree
279;127795;🌳;deciduous tree
280;127796;🌴;palm tree
281;127797;🌵;cactus
282;127799;🌷;tulip
283;127800;🌸;cherry blossom
284;127801;🌹;rose
285;127802;🌺;hibiscus
286;127803;🌻;sunflower
287;127804;🌼;blossom
288;127805;🌽;ear maize
289;127806;🌾;ear rice
290;127807;🌿;herb
291;127808;🍀;four leaf clover
292;127809;🍁;maple leaf
293;127810;🍂;fallen leaf
294;127811;🍃;leaf fluttering wind
295;127812;🍄;mushroom
296;127813;🍅;tomato
297;127814;🍆;aubergine
298;127815;🍇;grapes
299;127816;🍈;melon
300;127817;🍉;watermelon
301;127818;🍊;tangerine
302;127819;🍋;lemon
303;127820;🍌;banana
304;127821;🍍;pineapple
305;127822;🍎;red apple
306;127823;🍏;green apple
307;11088;⭐;white medium star
308;127824;🍐;pear
309;127825;🍑;peach
310;127826;🍒;cherries
311;127827;🍓;strawberry
313;127828;🍔;hamburger
314;127829;🍕;slice pizza
315;127830;🍖;meat bone
316;127831;🍗;poultry leg
317;127832;🍘;rice cracker
318;127833;🍙;rice ball
319;127834;🍚;cooked rice
320;127835;🍛;curry rice
321;127836;🍜;steaming bowl
322;127837;🍝;spaghetti
323;127838;🍞;bread
324;127839;🍟;french fries
325;127840;🍠;roasted sweet potato
326;127841;🍡;dango
327;127842;🍢;oden
328;127843;🍣;sushi
329;127844;🍤;fried shrimp
330;127845;🍥;fish cake swirl design
331;127846;🍦;soft ice cream
332;127847;🍧;shaved ice
333;127848;🍨;ice cream
334;127849;🍩;doughnut
335;127850;🍪;cookie
336;127851;🍫;chocolate bar
337;127854;🍮;custard
338;127852;🍬;candy
339;127853;🍭;lollipop
340;127855;🍯;honey pot
341;127856;🍰;shortcake
342;127859;🍳;cooking
343;127857;🍱;bento box
344;127858;🍲;pot food
345;127860;🍴;fork knife
346;127861;🍵;teacup without handle
347;127864;🍸;cocktail glass
348;127862;🍶;sake bottle cup
349;127863;🍷;wine glass
350;127865;🍹;tropical drink
351;127866;🍺;beer mug
352;127867;🍻;clinking beer mugs
353;127868;🍼;baby bottle
354;127870;🍾;bottle popping cork
355;127871;🍿;popcorn
356;127872;🎀;ribbon
357;127873;🎁;wrapped present
358;127874;🎂;birthday cake
359;127875;🎃;jack-o-lantern
360;127877;🎅;father christmas
361;127876;🎄;christmas tree
362;127878;🎆;fireworks
363;127880;🎈;balloon
364;127881;🎉;party popper
365;127882;🎊;confetti ball
366;127883;🎋;tanabata tree
367;127884;🎌;crossed flags
368;127885;🎍;pine decoration
369;127879;🎇;firework sparkler
370;127887;🎏;carp streamer
371;127888;🎐;wind chime
372;127886;🎎;japanese dolls
373;127889;🎑;moon viewing ceremony
374;127890;🎒;school satchel
375;127891;🎓;graduation cap
376;127904;🎠;carousel horse
377;127905;🎡;ferris wheel
378;127906;🎢;roller coaster
379;127907;🎣;fishing pole fish
380;127908;🎤;microphone
381;127909;🎥;movie camera
383;127911;🎧;headphone
384;127912;🎨;artist palette
385;127913;🎩;top hat
386;127914;🎪;circus tent
387;127915;🎫;ticket
388;127916;🎬;clapper board
389;127917;🎭;performing arts
390;127918;🎮;video game
391;127919;🎯;direct hit
392;127920;🎰;slot machine
393;127921;🎱;billiards
394;127922;🎲;game die
395;127923;🎳;bowling
396;127924;🎴;flower playing cards
397;127925;🎵;musical note
398;127926;🎶;multiple musical notes
399;127927;🎷;saxophone
400;127928;🎸;guitar
401;127929;🎹;musical keyboard
402;127930;🎺;trumpet
403;127931;🎻;violin
404;127932;🎼;musical score
405;127933;🎽;running shirt sash
406;127934;🎾;tennis racquet ball
407;127935;🎿;ski ski boot
408;127936;🏀;basketball hoop
409;127937;🏁;chequered flag
410;127938;🏂;snowboarder
411;127939;🏃;runner
412;127940;🏄;surfer
413;127941;🏅;sports medal
414;127942;🏆;trophy
415;127943;🏇;horse racing
416;127944;🏈;american football
417;127945;🏉;rugby football
418;127946;🏊;swimmer
419;127951;🏏;cricket bat ball
420;127952;🏐;volleyball
421;127953;🏑;field hockey stick ball
422;127954;🏒;ice hockey stick puck
423;127955;🏓;table tennis paddle ball
424;127968;🏠;house building
425;127969;🏡;house garden
426;127970;🏢;office building
427;127971;🏣;japanese post office
428;127972;🏤;european post office
429;127973;🏥;hospital
430;127974;🏦;bank
431;127975;🏧;automated teller machine
432;127976;🏨;hotel
433;127977;🏩;love hotel
434;127978;🏪;convenience store
435;127979;🏫;school
436;127980;🏬;department store
437;127981;🏭;factory
439;127983;🏯;japanese castle
440;127984;🏰;european castle
446;9200;⏰;alarm clock
447;9203;⏳;hourglass flowing sand
448;127992;🏸;badminton racquet shuttlecock
449;127993;🏹;bow arrow
450;127994;🏺;amphora
451;128000;🐀;rat
452;128001;🐁;mouse
453;128002;🐂;ox
454;128003;🐃;water buffalo
455;128004;🐄;cow
456;128005;🐅;tiger
457;128006;🐆;leopard
458;128007;🐇;rabbit
459;128008;🐈;cat
460;128009;🐉;dragon
461;128010;🐊;crocodile
462;128011;🐋;whale
463;128012;🐌;snail
464;128013;🐍;snake
465;128014;🐎;horse
466;128015;🐏;ram
467;128016;🐐;goat
468;128017;🐑;sheep
469;128018;🐒;monkey
470;128019;🐓;rooster
471;128020;🐔;chicken
472;128021;🐕;dog
473;128022;🐖;pig
474;128023;🐗;boar
475;128024;🐘;elephant
476;128025;🐙;octopus
477;128026;🐚;spiral shell
478;128027;🐛;bug
479;128028;🐜;ant
480;128029;🐝;honeybee
481;128030;🐞;lady beetle
482;128031;🐟;fish
483;128032;🐠;tropical fish
484;128033;🐡;blowfish
485;128034;🐢;turtle
486;128035;🐣;hatching chick
487;128036;🐤;baby chick
488;128037;🐥;front-facing baby chick
489;128038;🐦;bird
490;128039;🐧;penguin
491;128040;🐨;koala
492;128041;🐩;poodle
493;128042;🐪;dromedary camel
494;128043;🐫;bactrian camel
495;128044;🐬;dolphin
496;128045;🐭;mouse face
497;128046;🐮;cow face
498;128047;🐯;tiger face
499;128048;🐰;rabbit face
500;128049;🐱;cat face
501;128050;🐲;dragon face
502;128051;🐳;spouting whale
503;128052;🐴;horse face
504;128053;🐵;monkey face
505;128054;🐶;dog face
506;128055;🐷;pig face
507;128056;🐸;frog face
508;128057;🐹;hamster face
509;128058;🐺;wolf face
510;128059;🐻;bear face
511;128060;🐼;panda face
512;128061;🐽;pig nose
513;128062;🐾;paw prints
514;128064;👀;eyes
515;128066;👂;ear
516;128067;👃;nose
517;128068;👄;mouth
518;128069;👅;tongue
519;128070;👆;white pointing backhand index
520;128071;👇;white pointing backhand index
521;128072;👈;white left pointing backhand index
522;128073;👉;white right pointing backhand index
523;128074;👊;fisted hand sign
524;128075;👋;waving hand sign
525;128076;👌;ok hand sign
526;128077;👍;thumbs sign
527;128078;👎;thumbs sign
528;128079;👏;clapping hands sign
529;128080;👐;open hands sign
530;128081;👑;crown
531;128082;👒;womans hat
532;128083;👓;eyeglasses
533;128084;👔;necktie
534;128085;👕;t-shirt
535;128086;👖;jeans
536;128087;👗;dress
537;128088;👘;kimono
538;128089;👙;bikini
539;128090;👚;womans clothes
540;128091;👛;purse
541;128092;👜;handbag
542;128093;👝;pouch
543;128094;👞;mans shoe
544;128095;👟;athletic shoe
545;128096;👠;high-heeled shoe
546;128097;👡;womans sandal
547;128098;👢;womans boots
548;128099;👣;footprints
551;128102;👦;boy
552;128103;👧;girl
553;128104;👨;man
554;128105;👩;woman
555;128106;👪;family
556;128107;👫;man woman holding hands
557;128108;👬;two men holding hands
558;128109;👭;two women holding hands
559;128110;👮;police officer
560;128111;👯;woman bunny ears
561;128112;👰;bride veil
562;128113;👱;person blond hair
563;128114;👲;man gua pi mao
564;128115;👳;man turban
565;128116;👴;older man
566;128117;👵;older woman
567;128118;👶;baby
568;128119;👷;construction worker
569;128120;👸;princess
570;128121;👹;japanese ogre
571;128122;👺;japanese goblin
572;128123;👻;ghost
573;128124;👼;baby angel
574;128125;👽;extraterrestrial alien
575;128126;👾;alien monster
576;128127;👿;imp
577;128128;💀;skull
578;128129;💁;information desk person
579;128130;💂;guardsman
580;128131;💃;dancer
581;128132;💄;lipstick
582;128133;💅;nail polish
583;128134;💆;face massage
584;128135;💇;haircut
585;128136;💈;barber pole
586;128137;💉;syringe
587;128138;💊;pill
588;128139;💋;kiss mark
589;128140;💌;love letter
590;128141;💍;ring
591;128142;💎;gem stone
592;128143;💏;kiss
593;128144;💐;bouquet
594;128145;💑;couple heart
595;128146;💒;wedding
596;128147;💓;beating heart
597;128148;💔;broken heart
598;128149;💕;two hearts
599;128150;💖;sparkling heart
600;128151;💗;growing heart
601;128152;💘;heart arrow
606;128157;💝;heart ribbon
607;128158;💞;revolving hearts
608;128159;💟;heart decoration
610;128161;💡;electric light bulb
611;128162;💢;anger symbol
612;128163;💣;bomb
613;128164;💤;sleeping symbol
614;128165;💥;collision symbol
615;128166;💦;splashing sweat symbol
616;128167;💧;droplet
617;128168;💨;dash symbol
618;128169;💩;pile poo
619;128170;💪;flexed biceps
621;128172;💬;speech balloon
622;128173;💭;thought balloon
625;128176;💰;money bag
626;128177;💱;currency exchange
627;128178;💲;heavy dollar sign
628;128179;💳;credit card
629;128180;💴;banknote yen sign
630;128181;💵;banknote dollar sign
631;128182;💶;banknote euro sign
632;128183;💷;banknote pound sign
633;128184;💸;money wings
634;128185;💹;chart upwards trend yen sign
635;128186;💺;seat
636;128187;💻;personal computer
637;128188;💼;briefcase
638;128189;💽;minidisc
639;128190;💾;floppy disk
640;128191;💿;optical disc
641;128192;📀;dvd
642;128193;📁;file folder
643;128194;📂;open file folder
646;128197;📅;calendar
648;128199;📇;card index
649;128200;📈;chart upwards trend
650;128201;📉;chart downwards trend
651;128202;📊;bar chart
652;128203;📋;clipboard
653;128204;📌;pushpin
654;128205;📍;round pushpin
655;128206;📎;paperclip
656;128207;📏;straight ruler
657;128208;📐;triangular ruler
658;128209;📑;bookmark tabs
659;128210;📒;ledger
660;128211;📓;notebook
661;128212;📔;notebook decorative cover
662;128213;📕;closed book
663;128214;📖;open book
667;128218;📚;books
669;128220;📜;scroll
670;128221;📝;memo
671;128222;📞;telephone receiver
672;128223;📟;pager
673;128224;📠;fax machine
674;128225;📡;satellite antenna
675;128226;📢;public address loudspeaker
676;128227;📣;cheering megaphone
677;128228;📤;outbox tray
678;128229;📥;inbox tray
679;128230;📦;package
680;128231;📧;e-mail symbol
681;128232;📨;incoming envelope
682;128233;📩;envelope downwards arrow
683;128234;📪;closed mailbox lowered flag
687;128238;📮;postbox
688;128239;📯;postal horn
689;128240;📰;newspaper
690;128241;📱;mobile phone
691;128242;📲;mobile phone rightwards arrow left
692;128243;📳;vibration mode
693;128244;📴;mobile phone
694;128245;📵;mobile phones
696;128247;📷;camera
697;128248;📸;camera flash
698;128249;📹;video camera
699;128250;📺;television
700;128251;📻;radio
701;128252;📼;videocassette
708;128261;🔅;low brightness symbol
709;128262;🔆;high brightness symbol
711;128264;🔈;speaker
715;128268;🔌;electric plug
716;128269;🔍;left-pointing magnifying glass
717;128270;🔎;right-pointing magnifying glass
718;128271;🔏;lock ink pen
719;128272;🔐;closed lock key
720;128273;🔑;key
721;128274;🔒;lock
722;128275;🔓;open lock
723;128276;🔔;bell
724;128277;🔕;bell cancellation stroke
725;128278;🔖;bookmark
726;128279;🔗;link symbol
733;128286;🔞;one eighteen symbol
740;128293;🔥;fire
741;128294;🔦;electric torch
742;128295;🔧;wrench
743;128296;🔨;hammer
744;128297;🔩;nut bolt
745;128298;🔪;hocho
746;128299;🔫;pistol
747;128300;🔬;microscope
748;128301;🔭;telescope
749;128302;🔮;crystal ball
752;128305;🔱;trident emblem
765;128331;🕋;kaaba
766;128332;🕌;mosque
767;128333;🕍;synagogue
768;128334;🕎;menorah nine branches
793;128378;🕺;man dancing
794;128405;🖕;reversed hand middle finger extended
795;128406;🖖;raised hand part middle ring fingers
796;128420;🖤;black heart
797;128507;🗻;mount fuji
798;128508;🗼;tokyo tower
801;128509;🗽;statue liberty
803;128511;🗿;moyai
804;128512;😀;grinning face
805;128513;😁;grinning face smiling eyes
806;128514;😂;face tears joy
807;128515;😃;smiling face open mouth
808;128516;😄;smiling face open mouth smiling eyes
809;128517;😅;smiling face open mouth cold sweat
810;128518;😆;smiling face open mouth tightly-closed eyes
811;128519;😇;smiling face halo
812;128520;😈;smiling face horns
813;128521;😉;winking face
814;128522;😊;smiling face smiling eyes
815;128523;😋;face savouring delicious food
816;128524;😌;relieved face
817;128525;😍;smiling face heart-shaped eyes
818;128526;😎;smiling face sunglasses
819;128527;😏;smirking face
820;128528;😐;neutral face
821;128529;😑;expressionless face
822;9748;☔;umbrella rain drops
823;9749;☕;hot beverage
824;128530;😒;unamused face
825;128531;😓;face cold sweat
